x,y,z,shale5Thickness,shale1Thickness,shale2Thickness,shale3Thickness,shale4Thickness,aquifer1Thickness,aquifer2Thickness,aquifer3Thickness,aquifer4Thickness,reservoirThickness
250862.3802,4402039.405,-1305.586111,593.2861112,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4402039.405,-1402.885891,690.5858912,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4402039.405,-1501.940405,789.6404048,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4402039.405,-1602.931618,890.6316176,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4402039.405,-1710.657996,998.357996,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4412165.014,-926.0162328,213.7162328,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4412165.014,-1006.737331,294.4373312,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4412165.014,-1080.234365,367.9343648,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4412165.014,-1127.539934,415.2399344,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4412165.014,-1181.462102,469.1621024,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4412165.014,-1232.194234,519.8942336,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4412165.014,-1285.070938,572.7709376,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4412165.014,-1373.478787,661.1787872,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4412165.014,-1464.993158,752.6931584,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4412165.014,-1558.923679,846.6236792,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4412165.014,-1662.039043,949.7390432,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4424212.081,-933.8764152,221.5764152,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4424212.081,-1011.825967,299.5259672,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4424212.081,-1075.299653,362.9996528,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4424212.081,-1118.101193,405.8011928,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4424212.081,-1162.601688,450.301688,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4424212.081,-1205.944858,493.6448576,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4424212.081,-1260.746678,548.4466784,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4424212.081,-1347.81036,635.51036,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4424212.081,-1431.347506,719.0475056,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4424212.081,-1514.173248,801.873248,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4424212.081,-1606.906819,894.6068192,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4439642.734,-915.0702552,202.7702552,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4439642.734,-994.025952,281.725952,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4439642.734,-1054.50955,342.2095496,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4439642.734,-1092.481838,380.1818384,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
